,COUNTY_NAME,MUNI_NAME,CITYTOWN_S,PROP_CLASS,ACRES,Calculated_Acres,geometry,Tract,Total_Population,Households
0,Cattaraugus,Carrollton,042400,300,6465.0,6005.00797510862,POINT (200083.9177000001 4667435.8342),940300,5991,2406
1,Cattaraugus,Great Valley,044400,320,1865.0,1747.60978315297,POINT (196207.6435000002 4671896.123500001),940300,5991,2406
2,Cattaraugus,South Valley,048200,322,3650.0,1240.81086673497,POINT (171336.8263999997 4658889.6448),940300,5991,2406
3,Niagara,Somerset,293800,340,815.0,815.5339007942,POINT (209524.9452 4806617.714),024102,2646,1015
4,Wayne,Savannah,544000,322,713.0,716.460428522725,POINT (354055.9260999998 4769130.784600001),021700,3911,1350
5,Ulster,Wawarsing,515600,322,653.13,667.953736488917,POINT (548500.2375999996 4623983.8314),954600,1470,671
6,Clinton,AuSable,092200,312,662.6,655.374226514728,POINT (621481.9666999998 4932951.1041),102000,3060,1192
7,Orange,New Windsor,334800,341,653.0,626.745365212238,POINT (573025.8575999998 4594531.312100001),015200,10722,3399
8,Niagara,Somerset,293800,340,621.52,620.963763192594,POINT (208036.8333999999 4806548.483899999),024102,2646,1015
9,Dutchess,Fishkill,133000,322,271.3,554.601300420926,POINT (589613.8458000002 4594835.423900001),060202,4535,1768
10,Ulster,Rosendale,514600,322,561.0,545.416181146318,POINT (576957.2062999997 4636603.7071),952700,2773,1042
11,Dutchess,Fishkill,133000,311,494.4,492.014374655874,POINT (591345.0922999997 4596572.544299999),060202,4535,1768
12,Ulster,Wawarsing,515600,322,479.7,491.763784478645,POINT (550187.5280999998 4622348.0911),954600,1470,671
13,StLawrence,Rossie,407600,321,460.7,460.496256692348,POINT (447966.5679000001 4909603.470100001),492900,2109,783
14,Clinton,AuSable,092200,321,425.1,422.14229263204,POINT (618278.7892000005 4928367.972899999),102000,3060,1192
15,Orange,Goshen,333000,331,389.0,388.81524888487,POINT (557303.2620999999 4580290.66),012100,3755,1458
16,Clinton,AuSable,092200,312,365.4,370.862372558865,POINT (621416.4870999996 4930926.761299999),102000,3060,1192
17,Greene,"Athens, Village",192200,322,296.41,370.406558107248,POINT (599334.8269999996 4680258.082800001),080900,3949,1585
