COUNTY_NAME,Calculated_Acres
Sullivan,31603.13517808167
Ulster,27255.87809986937
Orange,24835.282028691698
StLawrence,20853.903808078412
Dutchess,18993.16220846795
Chautauqua,17635.631967222213
Wayne,17512.553628514168
Franklin,14106.821276443789
Montgomery,12480.88550974823
Allegany,12202.008241703523
Niagara,11242.520009236921
Cattaraugus,9610.1392349684
Greene,9504.160349810694
Steuben,8807.07862992379
Madison,7960.933592269888
Clinton,7503.27184486158
Orleans,7449.990962557397
Broome,7314.294245569742
Seneca,7230.767593537523
Oswego,6467.864378217704
Monroe,6327.373232344799
Genesee,6079.900845833234
Suffolk,5523.268585661828
Onondaga,5379.323304818053
Cayuga,3800.32441896206
Albany,3133.6084880806375
Yates,2620.7662361545526
Erie,1567.0284921479285
Westchester,881.017353547789
Ontario,876.1792864046121
Rensselaer,798.2672943903834
Rockland,707.1311807679743
Fulton,516.120905601045
Herkimer,459.6550463248488
Oneida,382.8046443327072
Chemung,323.3729938266212
Jefferson,205.7772863228827
Cortland,159.74283575242072
Otsego,142.3867906992477
Livingston,134.3255120743133
Columbia,93.6010616546998
Tioga,74.3002715530764
Nassau,44.0445486149125
Chenango,18.4103040111176
Washington,12.792396035812
